Timestamp,Latitud,Longitud,Altitud,Ax,Ay,Az
1753225387544,41.5388273,2.4427076,71.0999984741211,-0.3287857,0.08665398,10.13684
1753225389547,41.5388273,2.4427076,71.0999984741211,-0.3287857,0.08665398,10.13684
1753225391549,41.5388273,2.4427076,71.0999984741211,-0.07454735,0.08083753,9.829613
1753225393552,41.5388273,2.4427076,71.0999984741211,-0.07454735,0.08083753,9.829613
1753225395555,41.5388273,2.4427076,71.0999984741211,-0.074553825,-0.030543283,9.797568
1753225397558,41.5388273,2.4427076,71.0999984741211,0.0704248,0.33574277,9.745951
1753225399561,41.5388273,2.4427076,71.0999984741211,0.0704248,0.33574277,9.745951
1753225401564,41.5388273,2.4427076,71.0999984741211,-0.38725156,-0.20428047,9.78913
1753225403566,41.5388273,2.4427076,71.0999984741211,-0.14986013,-0.21581316,9.7854595
1753225405569,41.5388273,2.4427076,71.0999984741211,0.020439766,0.172953,9.815742
1753225407571,41.5388273,2.4427076,71.0999984741211,0.09417487,-0.41095224,9.236721
1753225409573,41.5388273,2.4427076,71.0999984741211,0.09417487,-0.41095224,9.236721
1753225411575,41.5388273,2.4427076,71.0999984741211,-0.4185193,0.3746438,9.703832
1753225413576,41.5388273,2.4427076,71.0999984741211,-0.10827249,-0.6964766,9.50728
1753225415578,41.5388273,2.4427076,71.0999984741211,-0.60502654,-0.2157867,9.662092
1753225417586,41.5388273,2.4427076,71.0999984741211,-0.5421173,-0.8802116,9.527691
1753225419588,41.5388273,2.4427076,71.0999984741211,-0.5421173,-0.8802116,9.527691
1753225421591,41.5388273,2.4427076,71.0999984741211,-0.37373552,-0.9631642,9.8294
1753225423601,41.5388273,2.4427076,71.0999984741211,-0.37373552,-0.9631642,9.8294
1753225425604,41.5388273,2.4427076,71.0999984741211,0.11534858,-1.9092662,9.80146
1753225427606,41.5388273,2.4427076,71.0999984741211,0.050508738,-0.6237448,9.634308
1753225429609,41.5388273,2.4427076,71.0999984741211,-0.5780291,-0.13355279,9.873113
1753225431612,41.5388273,2.4427076,71.0999984741211,0.059205845,-1.5224063,10.058607
1753225433614,41.5388273,2.4427076,71.0999984741211,-1.1072546,-0.10682536,10.003938
1753225435617,41.5388273,2.4427076,71.0999984741211,-1.1072546,-0.10682536,10.003938
1753225437621,41.5388273,2.4427076,71.0999984741211,-1.1307086,0.7657535,10.35055
1753225439623,41.5388273,2.4427076,71.0999984741211,-0.4669169,-1.5944725,9.882429
1753225441627,41.5388273,2.4427076,71.0999984741211,0.23469022,-1.2506942,9.976855
1753225443630,41.5388273,2.4427076,71.0999984741211,-0.037598167,-1.0133144,9.626129
1753225445631,41.5388273,2.4427076,71.0999984741211,-0.45730025,-1.3189704,10.168656
1753225447633,41.5388273,2.4427076,71.0999984741211,0.04941945,0.3320791,9.786517
1753225449634,41.5388273,2.4427076,71.0999984741211,-0.815563,-1.2163705,9.8320875
1753225451635,41.5388273,2.4427076,71.0999984741211,-0.6403852,-0.19750053,9.991752
1753225453643,41.5388273,2.4427076,71.0999984741211,-0.17140105,0.67283565,9.471565
1753225455645,41.5388273,2.4427076,71.0999984741211,-0.12375451,-0.15685672,10.722183
1753225457650,41.5388273,2.4427076,71.0999984741211,-0.92046374,-0.16079792,8.008288
1753225459652,41.5388273,2.4427076,71.0999984741211,-0.31413317,-1.7946973,7.575261
1753225461673,41.5388273,2.4427076,71.0999984741211,-1.1508693,0.15293474,7.4938912
