Latitud,Longitud,Altitud,Ax,Ay,Az
41.5359537,2.4487024,55.599998474121094,-0.29843435,5.133258,9.662326
41.5359537,2.4487024,55.599998474121094,-0.29843435,5.133258,9.662326
41.5359537,2.4487024,55.599998474121094,-0.29843435,5.133258,9.662326
41.5359537,2.4487024,55.599998474121094,-0.29843435,5.133258,9.662326
41.5359537,2.4487024,55.599998474121094,-0.29843435,5.133258,9.662326
41.5359537,2.4487024,55.599998474121094,-0.29843435,5.133258,9.662326
41.5359537,2.4487024,55.599998474121094,-0.29843435,5.133258,9.662326
41.5359537,2.4487024,55.599998474121094,-0.29843435,5.133258,9.662326
41.5359537,2.4487024,55.599998474121094,-0.29843435,5.133258,9.662326
41.5359537,2.4487024,55.599998474121094,-0.29843435,5.133258,9.662326
41.5359537,2.4487024,55.599998474121094,-0.29843435,5.133258,9.662326
41.5359537,2.4487024,55.599998474121094,-0.29843435,5.133258,9.662326
41.5359537,2.4487024,55.599998474121094,-0.29843435,5.133258,9.662326
41.5359537,2.4487024,55.599998474121094,-0.29843435,5.133258,9.662326
41.5359537,2.4487024,55.599998474121094,-0.29843435,5.133258,9.662326
41.5359537,2.4487024,55.599998474121094,-0.29843435,5.133258,9.662326
41.5359537,2.4487024,55.599998474121094,-0.29843435,5.133258,9.662326
41.5359537,2.4487024,55.599998474121094,-0.29843435,5.133258,9.662326
41.5359537,2.4487024,55.599998474121094,-0.29843435,5.133258,9.662326
41.5359537,2.4487024,55.599998474121094,-0.29843435,5.133258,9.662326
41.5359537,2.4487024,55.599998474121094,-0.29843435,5.133258,9.662326
41.5359537,2.4487024,55.599998474121094,-0.29843435,5.133258,9.662326
41.5359537,2.4487024,55.599998474121094,-0.29843435,5.133258,9.662326
41.5359537,2.4487024,55.599998474121094,-0.29843435,5.133258,9.662326
